Epoch,Best Candidate,Mean Fitness,
0,8,0.082,
1,8,0.192,
2,15,0.296,
3,16,0.606,
4,16,0.916,
5,16,1.606,
6,25,2.868,
7,25,4.386,
8,25,6.132,
9,30,7.686,
10,40,10.064,
11,54,12.338,
12,54,14.062,
13,54,17.278,
14,58,20.49,
15,81,24.416,
16,87,28.63,
17,87,33.574,
18,110,38.542,
19,110,43.146,
20,110,49.51,
21,121,56.264,
22,138,64.206,
23,138,72.094,
24,142,78.072,
25,142,83.794,
26,147,90.336,
27,173,97.766,
28,204,101.992,
29,204,110.428,
30,204,115.182,
31,229,121.42,
32,243,128.58,
33,243,135.852,
34,252,142.11,
35,252,152.816,
36,267,160.006,
37,268,168.48,
38,270,178.95,
39,272,191.266,
40,286,199.978,
41,286,205.794,
42,300,216.046,
43,302,223.498,
44,302,232.498,
45,313,239.954,
46,321,247.086,
47,334,250.55,
48,340,255.274,
49,340,258.964,
50,349,265.41,
51,349,267.988,
52,349,271.57,
53,349,278.218,
54,370,280.63,
55,372,289.638,
56,372,294.176,
57,372,301.14,
58,372,304.756,
59,383,308.65,
60,389,316.19,
61,389,319.642,
62,389,325.338,
63,389,328.88,
64,394,335.24,
65,394,336.488,
66,403,335.418,
67,404,343.158,
68,408,350.808,
69,408,351.916,
70,419,353.25,
71,419,349.32,
72,419,354.164,
73,419,361.114,
74,419,366.24,
75,420,360.814,
76,420,368.578,
77,420,374.182,
78,420,372.706,
79,427,378.3,
80,434,377.42,
81,434,383.948,
82,434,384.044,
83,437,392.728,
84,437,392.254,
85,452,391.058,
86,452,397.442,
87,452,397.524,
88,455,398.002,
89,457,398.984,
90,457,402.668,
91,457,406.48,
92,457,401.136,
93,457,406.978,
94,458,407.666,
95,458,414.496,
96,458,422.786,
97,458,424.366,
98,459,425.688,
99,459,422.692,
100,459,421.41,
101,459,419.754,
102,459,422.78,
103,459,429.17,
104,460,425.25,
105,461,416.886,
106,461,422.372,
107,463,426.056,
108,463,430.376,
109,463,429.26,
110,463,426.57,
111,463,428.662,
112,464,427.81,
113,464,429.936,
114,464,430.456,
115,464,430.332,
116,464,425.806,
117,468,429.24,
118,468,429.524,
119,468,435.71,
120,468,434.26,
121,468,434.572,
122,469,430.18,
123,470,433.938,
124,470,442.826,
125,470,432.696,
126,470,428.492,
127,470,428.804,
128,470,434.472,
129,473,436.194,
130,473,427.81,
131,473,436.842,
132,473,430.86,
133,473,435.938,
134,473,438.828,
135,473,438.752,
136,473,439.088,
137,473,436.66,
138,473,442.384,
139,473,436.374,
140,473,442.64,
141,473,440.35,
142,473,440.586,
143,474,442.968,
144,477,443.368,
145,477,444.746,
146,477,440.774,
147,477,440.06,
148,477,443.224,
149,477,445.964,
150,477,439.232,
151,477,444.766,
152,477,442.69,
153,477,443.828,
154,477,443.834,
155,477,440.658,
156,477,441.184,
157,480,444.452,
158,480,447.39,
159,481,442.504,
160,481,439.928,
161,483,443.868,
162,483,447.842,
163,484,448.536,
164,484,447.942,
165,484,447.914,
166,484,441.802,
167,484,446.412,
168,484,444.364,
169,484,443.536,
170,484,438.496,
171,484,443.918,
172,484,444.522,
173,484,444.41,
174,484,443.104,
175,485,449.61,
176,485,454.566,
177,485,450.416,
178,485,456.936,
179,486,458.784,
180,486,454.59,
181,486,450.062,
182,489,453.67,
183,489,455.038,
184,489,454.28,
185,489,449.018,
186,489,455.682,
187,489,452.892,
188,490,456.314,
189,490,456.488,
190,490,459.528,
191,490,455.166,
192,491,451.486,
193,491,451.416,
194,491,445.494,
195,492,449.214,
196,492,458.852,
197,492,456.554,
198,492,452.574,
199,494,465.156,
200,494,465.75,
201,494,458.62,
202,494,456.57,
203,494,455.19,
204,494,452.94,
205,494,454.534,
206,494,459.364,
207,496,453.586,
208,496,458.154,
209,496,459.096,
210,496,453.942,
211,496,455.666,
212,497,457.72,
213,497,457.456,
214,497,459.284,
215,497,456.65,
216,497,455.196,
217,497,458.038,
218,497,464.586,
219,497,462.694,
220,497,461.646,
221,497,468.174,
222,497,465.236,
223,498,468.284,
224,498,467.022,
225,498,467.602,
226,498,469.036,
227,498,462.272,
228,498,460.34,
229,498,455.904,
230,498,464.692,
231,498,453.73,
232,498,459.504,
233,498,462.246,
234,498,461.596,
235,498,462.92,
236,498,465.082,
237,498,469.052,
238,498,467.642,
239,499,466.506,
240,499,463.606,
241,499,462.316,
242,499,459.746,
243,499,452.968,
244,499,459.91,
245,499,460.792,
246,499,464.36,
247,500,467.972,
248,500,460.278,
249,500,459.386,
250,501,460.624,
251,501,468.92,
252,501,467.966,
253,501,467.574,
254,501,465.656,
255,501,464.17,
256,501,467.314,
257,501,466.216,
258,501,468.534,
259,501,465.068,
260,503,470.46,
261,503,468.992,
262,503,470.294,
263,503,466.882,
264,503,463.594,
265,504,472.734,
266,504,469.174,
267,504,471.132,
268,504,464.528,
269,504,468.13,
270,504,462.302,
271,504,468.718,
272,504,468.002,
273,504,471.248,
274,504,466.958,
275,504,468.226,
276,504,469.0,
277,504,467.78,
278,504,471.096,
279,504,463.862,
280,504,470.762,
281,504,468.286,
282,504,467.896,
283,504,472.028,
284,504,471.234,
285,504,469.31,
286,504,465.17,
287,504,467.168,
288,504,462.504,
289,504,467.954,
290,504,462.358,
291,506,474.806,
292,506,470.882,
293,506,472.83,
294,506,473.926,
295,506,467.248,
296,506,471.87,
297,506,466.718,
298,506,467.642,
299,506,466.112,
300,506,468.826,
301,506,463.3,
302,506,465.524,
303,506,468.97,
304,506,469.372,
305,506,470.392,
306,506,475.114,
307,506,473.38,
308,506,470.56,
309,506,473.258,
310,506,473.964,
311,507,465.654,
312,507,473.568,
313,507,471.716,
314,507,467.78,
315,507,467.88,
316,507,471.168,
317,507,465.348,
318,507,465.216,
319,507,466.222,
320,507,468.148,
321,507,473.048,
322,507,474.192,
323,508,472.056,
324,508,465.548,
325,508,470.432,
326,508,470.612,
327,508,476.66,
328,508,473.4,
